05/30/12,DYNAMITE ENTERTAINMENT,Bionic Woman #2 (Paul Renaud Black & White Variant Cover)
05/30/12,DYNAMITE ENTERTAINMENT,Bionic Woman #2 (Paul Renaud Regular Cover)
05/30/12,DYNAMITE ENTERTAINMENT,Bionic Woman #2 (Paul Renaud Virgin Variant Cover)
05/30/12,DYNAMITE ENTERTAINMENT,Garth Ennis' Jennifer Blood #13 (Tim Bradstreet Regular Cover)
05/30/12,DYNAMITE ENTERTAINMENT,Garth Ennis' Jennifer Blood #13 (Tim Bradstreet Virgin Variant Cover)
05/30/12,DYNAMITE ENTERTAINMENT,George R.R. Martin's A Game Of Thrones #8 (Mike Miller Regular Cover)
05/30/12,DYNAMITE ENTERTAINMENT,Queen Sonja #29 (Lucio Parrillo Regular Cover)
05/30/12,DYNAMITE ENTERTAINMENT,Queen Sonja #29 (Tommy Patterson Regular Cover)
05/30/12,DYNAMITE ENTERTAINMENT,Spider #1 (John Cassaday 2nd Printing Variant Cover)
05/30/12,EAGLEMOSS PUBLICATIONS,Classic Marvel Figure Collection Magazine #171 (Thunderbird)
05/30/12,EAGLEMOSS PUBLICATIONS,Classic Marvel Figure Collection Magazine #173 (Avalanche)
05/30/12,EAGLEMOSS PUBLICATIONS,Classic Marvel Figurine Collection Magazine #172 (Dracula)
05/30/12,EAGLEMOSS PUBLICATIONS,DC Superhero Figurine Collection Magazine #105 (Elasti-Girl)
05/30/12,EAGLEMOSS PUBLICATIONS,DC Superhero Figurine Collection Magazine #106 (Stargirl)
05/30/12,EAGLEMOSS PUBLICATIONS,DC Superhero Figurine Collection Magazine #107 (Gold)
05/30/12,EDITIONS AKILEOS,Artbook Cromwell Quelque Part HC
05/30/12,FANTAGRAPHICS BOOKS,Angelman Fallen Angel HC (not verified by Diamond)
05/30/12,FANTAGRAPHICS BOOKS,Black Images In The Comics SC (not verified by Diamond)
05/30/12,FANTAGRAPHICS BOOKS,Mr Twee Deedle Raggedy Ann's Sprightly Cousin The Forgotten Fantasy Masterpieces Of Johnny Gruelle HC (not verified by Diamond)
05/30/12,FANTAGRAPHICS BOOKS,Squa Tront #13 (not verified by Diamond)
05/30/12,FANTAGRAPHICS BOOKS,What Is All This SC (not verified by Diamond)
05/30/12,FIRST SECOND,Moon Moth GN
05/30/12,FLESK PUBLICATIONS,Flesk Prime HC (not verified by Diamond)
05/30/12,FLESK PUBLICATIONS,Spectrum Fantastic Art Live HC (not verified by Diamond)
05/30/12,FUTURE PUBLISHING,Comic Heroes Magazine #12 (not verified by Diamond)
05/30/12,FUTURE PUBLISHING,SFX #222 (July 2012)(not verified by Diamond)
05/30/12,GG STUDIO,Gore #6 (Of 12)
05/30/12,GG STUDIO,Mediterranea #7 (Of 14)
05/30/12,GG STUDIO,Mediterranea Volume 1 TP
05/30/12,HAPPY MEDIUM PRESS,Sci Fi And Fantasy Modeller Volume 25 (not verified by Diamond)
05/30/12,HUMANOIDS PUBLISHING,Monsieur Jean Singles Theory HC
05/30/12,IDW PUBLISHING,Ghostbusters #9 (Cover A Dan Schoening)
05/30/12,IDW PUBLISHING,Ghostbusters #9 (Cover B Tristan Jones)
05/30/12,IDW PUBLISHING,Ghostbusters #9 (Cover RIA Mike Henderson)
05/30/12,IDW PUBLISHING,Ghostbusters #9 (Cover RIB Tristan Jones)
05/30/12,IDW PUBLISHING,Hawken #4 (Of 6)(Cover A Tim Truman)
05/30/12,IDW PUBLISHING,Hawken #4 (Of 6)(Cover RI Tim Truman)
05/30/12,IDW PUBLISHING,John Byrne's Next Men Aftermath #43 (Cover A John Byrne)
05/30/12,IDW PUBLISHING,John Byrne's Next Men Aftermath #43 (Cover RI John Byrne)
05/30/12,IDW PUBLISHING,Monocyte #4 (Of 4)(Cover A Menton J. Matthews III)
05/30/12,IDW PUBLISHING,Monocyte #4 (Of 4)(Cover B David Stoupakis)
05/30/12,IDW PUBLISHING,Monocyte #4 (Of 4)(Cover RI Phil Hale)
05/30/12,IDW PUBLISHING,Rocketeer Adventures 2 #3 (Of 4)(Cover A Darwyn Cooke)
05/30/12,IDW PUBLISHING,Rocketeer Adventures 2 #3 (Of 4)(Cover B Dave Stevens)
05/30/12,IDW PUBLISHING,Rocketeer Adventures 2 #3 (Of 4)(Cover RI Darwyn Cooke)
05/30/12,IDW PUBLISHING,Snake Eyes And Storm Shadow #13 (Cover A Robert Atkins)
05/30/12,IDW PUBLISHING,Snake Eyes And Storm Shadow #13 (Cover B Robert Atkins)
05/30/12,IDW PUBLISHING,Snake Eyes And Storm Shadow #13 (Cover RIA Steve Ellis)
05/30/12,IDW PUBLISHING,Snake Eyes And Storm Shadow #13 (Cover RIB Steve Ellis)
05/30/12,IDW PUBLISHING,Star Trek #9 (Cover A Tim Bradstreet)
05/30/12,IDW PUBLISHING,Star Trek #9 (Cover B Joe Phillips)
05/30/12,IDW PUBLISHING,Star Trek #9 (Cover RIA Tim Bradstreet)
05/30/12,IDW PUBLISHING,Star Trek #9 (Cover RIB Photo)
05/30/12,IDW PUBLISHING,Star Trek The Next Generation Doctor Who Assimilation2 #1 (Cover A J.K. Woodward)
05/30/12,IDW PUBLISHING,Star Trek The Next Generation Doctor Who Assimilation2 #1 (Cover B David Messina)
05/30/12,IDW PUBLISHING,Star Trek The Next Generation Doctor Who Assimilation2 #1 (Cover RIA Photo)
05/30/12,IDW PUBLISHING,Star Trek The Next Generation Doctor Who Assimilation2 #1 (Cover RIB Joe Corroney)
05/30/12,IDW PUBLISHING,Stephen King And Joe Hill's Road Rage #4 (Of 4)(Cover A Rafa Garres)
05/30/12,IDW PUBLISHING,Stephen King And Joe Hill's Road Rage #4 (Of 4)(Cover RI Rafa Garres)
05/30/12,IDW PUBLISHING,Teenage Mutant Ninja Turtles #10 (Cover A Dan Duncan)
05/30/12,IDW PUBLISHING,Teenage Mutant Ninja Turtles #10 (Cover B Kevin Eastman)
05/30/12,IDW PUBLISHING,Teenage Mutant Ninja Turtles #10 (Cover RI Tyler Walpole)
05/30/12,IDW PUBLISHING,Transformers Robots In Disguise #5 (Cover A Andrew Griffith)
05/30/12,IDW PUBLISHING,Transformers Robots In Disguise #5 (Cover B Casey Coller)
05/30/12,IDW PUBLISHING,Transformers Robots In Disguise #5 (Cover RI Marcelo Matere)
05/30/12,IDW PUBLISHING,Zombies The Chilling Archives Of Horror Comics HC
05/30/12,IDW PUBLISHING,Zombies Vs Robots Annual 2012
05/30/12,IMAGE COMICS,America's Got Powers #2 (Of 6)
05/30/12,IMAGE COMICS,Bloodstrike #28
05/30/12,IMAGE COMICS,Bomb Queen VII Queen's World #4 (Of 4)
05/30/12,IMAGE COMICS,Darkness Compendium Volume 2 HC
05/30/12,IMAGE COMICS,Elephantmen Volume 0 Armed Forces TP
05/30/12,IMAGE COMICS,Grim Leaper #1 (Of 4)
05/30/12,IMAGE COMICS,Hack Slash Omnibus Volume 4 TP
05/30/12,IMAGE COMICS,Li'l Depressed Boy #11
05/30/12,IMAGE COMICS,Magdalena #12
05/30/12,IMAGE COMICS,Mind The Gap #2 (2nd Printing Variant Cover)
05/30/12,IMAGE COMICS,Peter Panzerfaust #4
05/30/12,IMAGE COMICS,Spawn Compendium Volume 1 TP
05/30/12,IMAGE COMICS,Walking Dead #98
05/30/12,JOHN BLAKE PUBLISHING,Doctors Who's Who The Story Behind Every Face Of The Iconic Time Lord SC (not verified by Diamond)
05/30/12,KNOCKABOUT COMICS,Paris GN (not verified by Diamond)
05/30/12,KODANSHA COMICS,Genshiken Omnibus Volume 1 TP
05/30/12,KODANSHA COMICS,Wallflower Volume 28 GN
05/30/12,MARKOSIA ENTERPRISES,Boy Who Made Silence GN (not verified by Diamond)
05/30/12,MARKOSIA ENTERPRISES,Tales From The Clockwork Empire GN (not verified by Diamond)
05/30/12,MARVEL COMICS,Amazing Spider-Man #684 (Stefano Caselli 2nd Printing Variant Cover)
05/30/12,MARVEL COMICS,Amazing Spider-Man Annual #39
05/30/12,MARVEL COMICS,Astonishing X-Men #49 (Dustin Weaver 2nd Printing Variant Cover)
05/30/12,MARVEL COMICS,Astonishing X-Men #50 (Dustin Weaver 2nd Printing Variant Cover)(not verified by Diamond)
05/30/12,MARVEL COMICS,Avengers Vs X-Men #1 (Of 12)(Jim Cheung 3rd Printing Variant Cover)
05/30/12,MARVEL COMICS,Avengers Vs X-Men #2 (Of 12)(Jim Cheung 3rd Printing Variant Cover)
05/30/12,MARVEL COMICS,Avengers Vs X-Men #4 (Of 12)(Jim Cheung 2nd Printing Variant Cover)(not verified by Diamond)
05/30/12,MARVEL COMICS,Avenging Spider-Man #6 (2nd Printing Variant Cover)
05/30/12,MARVEL COMICS,AvX Vs #2 (Of 6)(Salvador Larroca 2nd Printing Variant Cover)(not verified by Diamond)
05/30/12,MARVEL COMICS,Captain America And Bucky Old Wounds HC (Premiere Edition)
05/30/12,MARVEL COMICS,Daredevil #11 (2nd Printing Variant Cover)
05/30/12,MARVEL COMICS,Daredevil By Ed Brubaker And Michael Lark Ultimate Collection Volume 2 TP
05/30/12,MARVEL COMICS,FF #18
05/30/12,MARVEL COMICS,Hulk Smash Avengers #5 (Of 5)
05/30/12,MARVEL COMICS,Hulk Smash Avengers Collectible Postcard #5 (Promotional Item)
05/30/12,MARVEL COMICS,Incredible Hulk #8 (Ed McGuinness Amazing Spider-Man 50th Anniversary Cover)
05/30/12,MARVEL COMICS,Incredible Hulk #8 (Michael Komarck Regular Cover)
05/30/12,MARVEL COMICS,Kick-Ass 2 HC (Premiere Edition)
05/30/12,MARVEL COMICS,Marvel Firsts The 1970s Volume 3 TP
05/30/12,MARVEL COMICS,Marvel Previews #106 (June 2012 For Products On-Sale August 2012)
05/30/12,MARVEL COMICS,New Avengers #25 (Mike Deodato 2nd Printing Variant Cover)
05/30/12,MARVEL COMICS,New Mutants #43
05/30/12,MARVEL COMICS,Official Handbook Of The Marvel Universe A To Z Volume 5 TP
05/30/12,MARVEL COMICS,Powers #10
05/30/12,MARVEL COMICS,Punisher #10 (Marco Checchetto 2nd Printing Variant Cover)
05/30/12,MARVEL COMICS,Secret Avengers #26 (Alan Davis 2nd Printing Variant Cover)
05/30/12,MARVEL COMICS,Stand Volume 3 Soul Survivors TP
05/30/12,MARVEL COMICS,Supercrooks #3 (Of 4)(Leinil Franics Yu Black & White Variant Cover)
05/30/12,MARVEL COMICS,Supercrooks #3 (Of 4)(Leinil Franics Yu Regular Cover)
05/30/12,MARVEL COMICS,Ultimate Comics The Ultimates #11
